日期,开盘价,最高价,最低价,收盘价,成交量,成交额,换手率,未复权开盘价,未复权最高价,未复权最低价,未复权收盘价,前复权比例系数,5日成交量比
2026-03-12,14.12,14.14,13.59,13.98,10355053.0,143106244.0,0.02988919458295455,14.12,14.14,13.59,13.98,1.0,1.4102566302559472
2026-03-13,14.23,14.27,13.64,13.69,10529200.0,146024687.0,0.03039185869959768,14.23,14.27,13.64,13.69,1.0,1.2627745708968672
2026-03-16,13.71,14.25,13.52,14.07,11069295.0,154783923.0,0.031950808185252734,13.71,14.25,13.52,14.07,1.0,1.188165899647965
2026-03-17,14.08,14.85,13.95,14.58,10940800.0,158497853.0,0.03157991563087018,14.08,14.85,13.95,14.58,1.0,1.0884184391103857
2026-03-18,14.58,14.97,14.42,14.92,9712553.0,143316802.0,0.028034659650149445,14.58,14.97,14.42,14.92,1.0,0.986084071713795
2026-03-19,14.84,14.84,14.32,14.42,10097903.0,146229851.0,0.029146947644478546,14.84,14.84,14.32,14.42,1.0,0.9597507939120004
2026-03-20,14.53,14.7,13.95,14.02,7549428.0,107989677.0,0.021790938441551715,14.53,14.7,13.95,14.02,1.0,0.7210567247970292
2026-03-23,13.89,13.89,13.06,13.2,9038104.0,121249250.0,0.02608790598338607,13.89,13.89,13.06,13.2,1.0,0.91534412036108
2026-03-24,13.59,13.89,13.46,13.85,7821905.0,107101859.0,0.022577425779895584,13.59,13.89,13.46,13.85,1.0,0.8261623639371587
2026-03-25,13.89,14.0,13.4,13.55,6693318.0,91082668.0,0.01931983198034739,13.89,14.0,13.4,13.55,1.0,0.7568220483934686
2026-03-26,13.65,13.74,13.22,13.33,4724900.0,63289819.0,0.013638120006242552,13.65,13.74,13.22,13.33,1.0,0.5734010364591751
2026-03-27,13.2,13.48,13.17,13.24,4661378.0,62021722.0,0.013454767838146605,13.2,13.48,13.17,13.24,1.0,0.6505279231922938
2026-03-30,13.11,13.32,12.81,13.2,6147800.0,80282051.0,0.017745229353928752,13.11,13.32,12.81,13.2,1.0,0.933192732578305
2026-03-31,13.45,13.45,12.87,12.95,5449700.0,71474400.0,0.015730208596588295,13.45,13.45,12.87,12.95,1.0,0.9067931397139654
2026-04-01,13.15,13.45,13.01,13.11,5621600.0,74140467.0,0.01622638689222907,13.15,13.45,13.01,13.11,1.0,1.0155689744328669
2026-04-02,13.04,13.05,12.71,12.87,5300300.0,68059173.0,0.015298975104041863,13.04,13.05,12.71,12.87,1.0,0.9960956014231409
2026-04-03,12.87,12.99,12.33,12.37,6638750.0,83307769.0,0.0191623249574473,12.87,12.99,12.33,12.37,1.0,1.2212214823284309
2026-04-07,12.43,12.63,12.08,12.3,5505702.0,68120987.0,0.015891854768272266,12.43,12.63,12.08,12.3,1.0,0.9441103087815927
2026-04-08,12.63,12.91,12.37,12.82,6859100.0,86873662.0,0.01979835106241789,12.63,12.91,12.37,12.82,1.0,1.2026734977198106
2026-04-09,12.72,13.53,12.5,13.4,9498055.0,125546485.0,0.02741552496685477,12.72,13.53,12.5,13.4,1.0,1.5869526381756907
2026-04-10,13.4,13.82,13.28,13.68,7357815.0,99571287.0,0.021237859839093216,13.4,13.82,13.28,13.68,1.0,1.0883727654774034
2026-04-13,13.67,13.82,13.2,13.32,8717450.0,117594884.0,0.025162358832656592,13.67,13.82,13.2,13.32,1.0,1.2155034177628405
2026-04-14,13.41,13.55,13.23,13.36,4861500.0,64864886.0,0.014032407121917537,13.41,13.55,13.23,13.36,1.0,0.6407143716813394
2026-04-15,13.39,13.58,13.29,13.39,5442850.0,73080684.0,0.015710436512090684,13.39,13.58,13.29,13.39,1.0,0.7297235045283521
2026-04-16,13.39,13.85,13.28,13.69,7527000.0,102537378.0,0.021726201461827275,13.39,13.85,13.28,13.69,1.0,1.0489811629350512
2026-04-17,13.72,13.76,13.42,13.59,6130650.0,83099049.0,0.0176957269817924,13.72,13.76,13.42,13.59,1.0,0.9040492541057253
2026-04-20,13.59,14.08,13.51,13.83,7958701.0,110367707.0,0.022972278636966412,13.59,14.08,13.51,13.83,1.0,1.217692005220406
2026-04-21,13.83,13.96,13.48,13.73,5024301.0,68635438.0,0.014502321739186958,13.83,13.96,13.48,13.73,1.0,0.7869972843014945
2026-04-22,13.82,13.93,13.56,13.84,4468139.0,61682155.0,0.012896995891251158,13.82,13.93,13.56,13.84,1.0,0.6963296899446949
2026-04-23,13.83,13.9,13.55,13.68,3896300.0,53341072.0,0.01124641939095491,13.83,13.9,13.55,13.68,1.0,0.6262377731105011
2026-04-24,13.7,13.98,13.58,13.85,3977001.0,54837174.0,0.011479357637822311,13.7,13.98,13.58,13.85,1.0,0.7236676303313793
2026-04-27,13.85,14.15,13.62,13.97,5020800.0,69827877.0,0.014492216327825479,13.85,14.15,13.62,13.97,1.0,0.9912952869800645
2026-04-28,13.96,14.6,13.71,14.53,8986050.0,126988133.0,0.025937655459818385,13.96,14.6,13.71,14.53,1.0,2.00702064691459
2026-04-29,14.4,14.4,13.73,14.1,11909100.0,168016382.0,0.03437485131248136,14.4,14.4,13.73,14.1,1.0,2.259937931455893
2026-04-30,14.11,15.51,14.08,15.51,11594276.0,172590196.0,0.03346613208184255,14.11,15.51,14.08,15.51,1.0,1.7156752009684972
2026-05-06,16.41,16.41,15.2,15.97,17763976.0,285196283.0,0.0512745743774498,16.41,16.41,15.2,15.97,1.0,2.1408970042755566
2026-05-07,16.09,17.4,15.68,17.02,14174230.0,235303604.0,0.04091300339395191,16.09,17.4,15.68,17.02,1.0,1.2821740963352126
2026-05-08,17.12,17.79,16.65,17.21,19433256.0,338605034.0,0.05609284375119751,17.12,17.79,16.65,17.21,1.0,1.5081460699967988
2026-05-11,17.15,17.19,16.26,16.5,24759185.0,411730122.0,0.07146579531561736,17.15,17.19,16.26,16.5,1.0,1.653371523822195
2026-05-12,16.45,16.65,14.85,14.85,26176183.0,406951342.0,0.075555868919843,16.45,16.65,14.85,14.85,1.0,1.4919467640912034
2026-05-13,14.7,14.75,13.37,13.52,36818202.0,503922046.0,0.10627337240789848,14.7,14.75,13.37,13.52,1.0,1.7994009784097504
2026-05-14,13.7,13.84,12.79,12.86,22763100.0,299541349.0,0.06570422432519203,13.7,13.84,12.79,12.86,1.0,0.9378255574836132
2026-05-15,12.73,12.78,12.16,12.69,15845000.0,198572674.0,0.04573557355688231,12.73,12.78,12.16,12.69,1.0,0.6096579077697974
2026-05-18,12.64,12.75,12.19,12.24,13666200.0,169875958.0,0.039446607468795525,12.64,12.75,12.19,12.24,1.0,0.5407573356699069
2026-05-19,12.26,12.42,11.94,12.34,9638650.0,118052946.0,0.027821343393123615,12.26,12.42,11.94,12.34,1.0,0.41809490582806597
2026-05-20,12.35,12.8,12.06,12.49,10353600.0,128286278.0,0.029885000591892502,12.35,12.8,12.06,12.49,1.0,0.524332988639695
2026-05-21,12.5,12.72,11.58,11.62,13077396.0,157775620.0,0.03774706258696614,12.5,12.72,11.58,11.62,1.0,0.9048028444695367
2026-05-22,11.62,12.78,11.62,12.46,30977990.0,389559800.0,0.0894159760359334,11.62,12.78,11.62,12.46,1.0,2.4750376496987596
2026-05-25,13.47,13.68,12.12,12.59,26407040.0,334385221.0,0.0762222228046408,13.47,13.68,12.12,12.59,1.0,1.698992184609186
2026-05-26,12.39,12.59,12.05,12.23,11475987.0,140759644.0,0.033124698490143586,12.39,12.59,12.05,12.23,1.0,0.6343501246967045
2026-05-27,12.19,12.42,11.88,11.98,7728050.0,93410182.0,0.022306519357921387,12.19,12.42,11.88,11.98,1.0,0.41867382392016955
2026-05-28,12.06,12.08,11.63,11.89,6688050.0,79367760.0,0.019304626237116235,12.06,12.08,11.63,11.89,1.0,0.37294043816582795
2026-05-29,12.0,12.09,11.19,11.33,11221200.0,129324892.0,0.03238927219921034,12.0,12.09,11.19,11.33,1.0,0.673726493197405
2026-06-01,11.18,11.87,11.14,11.61,9946820.0,115499252.0,0.028710856280660658,11.18,11.87,11.14,11.61,1.0,0.782963538585058
2026-06-02,11.62,12.29,11.62,12.1,12532041.0,151219640.0,0.036172930449565474,11.62,12.29,11.62,12.1,1.0,1.331493041441661
2026-06-03,12.08,12.49,11.82,11.99,8115047.0,97831747.0,0.023423561311836993,12.08,12.49,11.82,11.99,1.0,0.8432766487750343
2026-06-04,11.94,12.63,11.8,12.45,10727479.0,132418377.0,0.030964178282386262,11.94,12.63,11.8,12.45,1.0,1.1058536642088337
2026-06-05,12.43,12.55,12.13,12.31,8472701.0,104520989.0,0.024455906583210497,12.43,12.55,12.13,12.31,1.0,0.8062698739976393
2026-06-08,12.32,12.58,12.0,12.24,11147400.0,137020375.0,0.0321762532450609,12.32,12.58,12.0,12.24,1.0,1.1193497509182215
2026-06-09,12.24,13.22,12.24,13.13,14894800.0,192486236.0,0.04299288236131592,12.24,13.22,12.24,13.13,1.0,1.4604271960354758
2026-06-10,13.2,14.44,12.94,13.84,19208650.0,268091562.0,0.055444532975917164,13.2,14.44,12.94,13.84,1.0,1.7999977772541393
2026-06-11,13.5,14.15,13.48,13.93,12883700.0,179169316.0,0.037187971538958954,13.5,14.15,13.48,13.93,1.0,0.9994952757155317
2026-06-12,14.19,14.34,13.84,14.08,10759600.0,151724048.0,0.031056893483283745,14.19,14.34,13.84,14.08,1.0,0.80768984145585
2026-06-15,14.08,14.28,13.75,14.09,9560450.0,133499060.0,0.027595624121924615,14.08,14.28,13.75,14.09,1.0,0.6938506389874902
2026-06-16,14.22,14.53,14.1,14.34,6919300.0,99278658.0,0.01997211449114142,14.22,14.53,14.1,14.34,1.0,0.5140089024651152
2026-06-17,14.26,14.3,13.29,13.64,12853046.0,176017109.0,0.03709949073922322,14.26,14.3,13.29,13.64,1.0,1.0831516710291462
2026-06-18,13.6,14.0,13.35,13.68,7721500.0,105149284.0,0.0222876132041317,13.6,14.0,13.35,13.68,1.0,0.7287720861877025
2026-06-22,13.52,13.75,12.86,13.19,10708003.0,140825369.0,0.0309079620608278,13.52,13.75,12.86,13.19,1.0,1.1197584693788603
2026-06-23,13.18,13.49,12.79,13.22,8885362.0,117092730.0,0.025647026022753358,13.18,13.49,12.79,13.22,1.0,0.9301648147213348
2026-06-24,13.46,13.63,12.99,13.63,7853074.0,104654138.0,0.022667393094013253,13.46,13.63,12.99,13.63,1.0,0.8338860842703129
2026-06-25,13.6,13.78,12.87,13.03,8413300.0,110768295.0,0.02428444941660574,13.6,13.78,12.87,13.03,1.0,0.8760024393502133
2026-06-26,12.75,12.9,12.3,12.66,6234212.0,78731417.0,0.017994652035039343,12.75,12.9,12.3,12.66,1.0,0.7152403354112993
2026-06-29,12.63,12.78,12.2,12.29,5930400.0,73377780.0,0.017117718234252753,12.63,12.78,12.2,12.29,1.0,0.7044242532614723
2026-06-30,12.29,12.48,12.06,12.4,7531700.0,92373213.0,0.02173976770958476,12.29,12.48,12.06,12.4,1.0,1.0091689572623774
2026-07-01,12.6,12.6,12.1,12.29,5986900.0,73396009.0,0.017280801850911878,12.6,12.6,12.1,12.29,1.0,0.8323766472837986
2026-07-02,12.15,12.65,11.94,12.0,7073500.0,86351935.0,0.020417202875014643,12.15,12.65,11.94,12.0,1.0,1.0372761882505752
2026-07-03,12.06,12.46,11.94,12.1,6676584.0,81658847.0,0.01927153036545936,12.06,12.46,11.94,12.1,1.0,1.0191169370112605
2026-07-06,12.1,13.31,12.1,12.88,17720800.0,230312616.0,0.051149949629965295,12.1,13.31,12.1,12.88,1.0,2.66886881577817
2026-07-07,13.5,13.5,11.59,11.59,16795550.0,203058414.0,0.04847927500494129,13.5,13.5,11.59,11.59,1.0,1.866608427871722
2026-07-08,11.81,11.88,11.2,11.2,7397900.0,84716073.0,0.021353562613850404,11.81,11.88,11.2,11.2,1.0,0.681792201010172
2026-07-09,11.1,11.24,10.62,10.85,7991700.0,87283436.0,0.02306752812840242,11.1,11.24,10.62,10.85,1.0,0.7178474460863934
2026-07-10,10.85,11.42,10.8,11.1,7131900.0,79701603.0,0.020585770719490627,10.85,11.42,10.8,11.1,1.0,0.6302209794987266
2026-07-13,11.07,11.22,9.99,10.01,11182130.0,116001973.0,0.032276499156681626,11.07,11.22,9.99,10.01,1.0,0.980237684274565
2026-07-14,10.07,10.42,9.96,10.18,8633560.0,87829478.0,0.024920215742363954,10.07,10.42,9.96,10.18,1.0,0.8548218010668688
2026-07-15,10.14,10.52,9.93,10.21,7572100.0,77581611.0,0.02185637971158527,10.14,10.52,9.93,10.21,1.0,0.8942610503909211
2026-07-16,10.11,10.38,9.99,10.1,5568580.0,56566952.0,0.01607334807178187,10.11,10.38,9.99,10.1,1.0,0.6549515318130035
2026-07-17,10.09,10.19,9.16,9.41,10321300.0,99737514.0,0.02979176871900596,10.09,10.19,9.16,9.41,1.0,1.287321702832275
2026-07-20,9.41,10.09,8.6,9.05,13417900.0,125122156.0,0.038729905486203295,9.41,10.09,8.6,9.05,1.0,1.5502105358259815
2026-07-21,9.08,9.13,8.15,8.86,16051307.0,136310228.0,0.04633106544541495,9.08,9.13,8.15,8.86,1.0,1.7633590209836918
2026-07-22,8.76,9.33,8.71,9.04,9923700.0,89934548.0,0.028644121887436605,8.76,9.33,8.71,9.04,1.0,0.9374152142101027
2026-07-23,9.09,9.37,8.91,9.27,6362100.0,58333066.0,0.0183637925229562,9.09,9.37,8.91,9.27,1.0,0.5754141881450369
2026-07-24,9.31,9.49,8.99,9.34,8181200.0,75922557.0,0.023614507692241438,9.31,9.49,8.99,9.34,1.0,0.7294702912586594
2026-07-27,9.2,9.37,9.1,9.31,6884100.0,63677716.0,0.019870511954744936,9.2,9.37,9.1,9.31,1.0,0.6381705706521038
2026-07-28,9.18,9.4,8.97,9.0,6990600.0,63820951.0,0.020177917356058155,9.18,9.4,8.97,9.0,1.0,0.7373676193278539
2026-07-29,8.95,9.44,8.95,9.16,9928973.0,91560220.0,0.028659342062846226,8.95,9.44,8.95,9.16,1.0,1.2948008304274459
2026-07-30,9.16,9.19,8.67,8.71,7523900.0,67022149.0,0.02171725351117872,9.16,9.19,8.67,8.71,1.0,0.9810291936210976
2026-07-31,8.82,9.37,8.78,9.22,11972177.0,109968107.0,0.03455691901669389,8.82,9.37,8.78,9.22,1.0,1.5151289309845184
2026-08-03,9.15,9.29,9.0,9.17,6172362.0,56144771.0,0.01781612598742223,9.15,9.29,9.0,9.17,1.0,0.712747995080803
2026-08-04,9.18,9.37,9.14,9.28,8419200.0,78051750.0,0.024301479387194923,9.18,9.37,9.14,9.28,1.0,0.9884471714716339
2026-08-05,9.28,9.78,9.28,9.55,10702362.0,102049591.0,0.030891679677083124,9.28,9.78,9.28,9.55,1.0,1.2157185110021642
2026-08-06,9.51,9.83,9.4,9.82,8328345.0,80146102.0,0.02403923227229997,9.51,9.83,9.4,9.82,1.0,0.9297102940453161
2026-08-07,9.81,9.96,9.49,9.66,8409000.0,81478715.0,0.024272037743125488,9.81,9.96,9.49,9.66,1.0,0.9221517901544413
2026-08-10,9.74,10.38,9.65,10.38,11196500.0,112083621.0,0.032317977237591215,9.74,10.38,9.65,10.38,1.0,1.331925048468082
2026-08-11,10.48,10.75,10.22,10.61,10818234.0,113774234.0,0.031226136753711907,10.48,10.75,10.22,10.61,1.0,1.1495208191483712
2026-08-12,10.54,10.92,10.5,10.83,8123091.0,87499701.0,0.023446779800552143,10.54,10.92,10.5,10.83,1.0,0.8212701261753217
2026-08-13,10.82,11.22,10.8,10.99,9189350.0,101149580.0,0.02652446783622193,10.82,11.22,10.8,10.99,1.0,0.98019377849723
