股票代码,股票名称
000059,华锦股份
000070,特发信息
000592,平潭发展
000626,远大控股
000628,高新发展
000635,英 力 特
000670,盈方微
000716,黑芝麻
000720,新能泰山
000890,法尔胜
001268,联合精密
002015,协鑫能科
002107,沃华医药
002155,湖南黄金
002212,天融信
002265,建设工业
002300,太阳电缆
002491,通鼎互联
002498,汉缆股份
002564,天沃科技
002724,海洋王
002811,郑中设计
002886,沃特股份
002963,豪尔赛
300570,太辰光
300830,金现代
300839,博汇股份
300922,天秦装备
600105,永鼎股份
600127,金健米业
600165,宁科生物
600198,大唐电信
600318,新力金融
600410,华胜天成
600487,亨通光电
600508,上海能源
600698,湖南天雁
600857,宁波中百
601015,陕西黑猫
601208,东材科技
601872,招商轮船
603002,宏昌电子
603011,合锻智能
603082,北自科技
603083,剑桥科技
603138,海量数据
603151,邦基科技
603228,景旺电子
603261,立航科技
603285,键邦股份
603400,华之杰
603880,南卫股份
603980,吉华集团
603989,艾华集团
605118,XD力鼎光
605162,新中港
688152,麒麟信安
688485,九州一轨
000523,红棉股份
000565,渝三峡Ａ
000930,中粮科技
001330,博纳影业
002040,南 京 港
002041,登海种业
002046,国机精工
002161,远 望 谷
002174,游族网络
002194,武汉凡谷
002242,九阳股份
002295,精艺股份
002377,国创高新
002436,兴森科技
002536,飞龙股份
002579,中京电子
002661,克明食品
002708,光洋股份
002916,深南电路
301151,冠龙节能
301282,金禄电子
301419,阿莱德
301529,福赛科技
301550,斯菱智驱
301626,苏州天脉
600184,光电股份
600192,长城电工
600207,安彩高科
600255,鑫科材料
600403,大有能源
600596,新安股份
600712,南宁百货
600903,贵州燃气
600967,内蒙一机
600969,郴电国际
601890,亚星锚链
603105,芯能科技
603115,海星股份
603150,万朗磁塑
603162,海通发展
603216,梦天家居
603269,海鸥股份
603318,水发燃气
603328,依顿电子
603618,杭电股份
603668,天马科技
603679,华体科技
603938,三孚股份
605011,杭州热电
605258,协和电子
688001,华兴源创
688209,英集芯
688813,泰金新能
000020,深华发Ａ
000428,华天酒店
000520,凤凰航运
000526,学大教育
000536,华映科技
000560,我爱我家
000620,盈新发展
000722,湖南发展
000723,美锦能源
000735,罗 牛 山
000798,中水渔业
000912,泸天化
000980,众泰汽车
001277,速达股份
002011,盾安环境
002068,黑猫股份
002084,海鸥住工
002104,恒宝股份
002172,澳洋健康
002297,博云新材
002349,精华制药
002403,爱仕达
