股票代码,股票名称
000007,全新好
000011,深物业A
000017,深中华A
000020,深华发Ａ
000026,飞亚达
000048,京基智农
000059,华锦股份
000062,深圳华强
000428,华天酒店
000505,京粮控股
000506,招金黄金
000510,新金路
000517,荣安地产
000520,凤凰航运
000523,红棉股份
000526,学大教育
000536,华映科技
000560,我爱我家
000592,平潭发展
000596,古井贡酒
000603,盛达资源
000620,盈新发展
000626,远大控股
000628,高新发展
000635,英 力 特
000657,中钨高新
000670,盈方微
000712,锦龙股份
000716,黑芝麻
000720,新能泰山
000721,西安饮食
000723,美锦能源
000735,罗 牛 山
000737,北方铜业
000811,冰轮环境
000831,中国稀土
000859,国风新材
000887,中鼎股份
000889,中嘉博创
000890,法尔胜
000892,欢瑞世纪
000912,泸天化
000931,中 关 村
000938,紫光股份
000960,锡业股份
000962,东方钽业
000975,山金国际
000977,浪潮信息
000989,九芝堂
001210,金房能源
001223,欧克科技
001258,立新能源
001268,联合精密
001277,速达股份
001326,联域股份
001330,博纳影业
001337,四川黄金
001358,兴欣新材
001359,平安电工
001366,播恩集团
001378,德冠新材
001696,宗申动力
002012,凯恩股份
002015,协鑫能科
002017,东信和平
002037,保利联合
002038,双鹭药业
002041,登海种业
002059,云南旅游
002072,凯瑞德
002081,金 螳 螂
002084,海鸥住工
002094,青岛金王
002104,恒宝股份
002107,沃华医药
002112,三变科技
002141,贤丰控股
002155,湖南黄金
002165,红 宝 丽
002172,澳洋健康
002174,游族网络
002180,奔图科技
002212,天融信
002213,大为股份
002222,福晶科技
002229,鸿博股份
002235,安妮股份
002256,兆新股份
002265,建设工业
002277,友阿股份
002297,博云新材
002300,太阳电缆
002303,美盈森
002322,理工能科
002328,新朋股份
002329,皇氏集团
002348,高乐股份
002349,精华制药
002354,天娱数科
002364,中恒电气
002365,永安药业
002370,亚太药业
002382,蓝帆医疗
002384,东山精密
002396,星网锐捷
002403,爱仕达
002409,雅克科技
002418,康盛股份
002421,达实智能
002428,云南锗业
002436,兴森科技
002437,誉衡药业
002438,江苏神通
002445,中南文化
002448,中原内配
002463,沪电股份
002474,榕基软件
002476,新叶股份
002484,江海股份
002491,通鼎互联
002515,金字火腿
002517,恺英网络
002536,飞龙股份
002545,东方铁塔
002548,金新农
002552,宝鼎科技
002558,巨人网络
002580,圣阳股份
002582,好想你
002589,瑞康医药
002607,中公教育
002631,德尔未来
002636,金安国纪
002638,勤上股份
002645,华宏科技
002655,共达电声
002659,凯文教育
002686,亿利达
002687,乔治白
002695,煌上煌
002702,海欣食品
002703,浙江世宝
002706,良信股份
002708,光洋股份
002716,湖南白银
002721,金一文化
002724,海洋王
002734,利民股份
002741,光华科技
002742,冀衡医药
002743,富煌钢构
002774,快意电梯
002775,文科股份
002779,中坚科技
002796,世嘉科技
002811,郑中设计
002827,高争民爆
002828,贝肯能源
002829,星网宇达
002837,英维克
002846,英联股份
002851,麦格米特
002855,捷荣技术
002859,洁美科技
002870,香山股份
002880,卫光生物
002882,金龙羽
002886,沃特股份
002902,铭普光磁
002907,华森制药
002908,德生科技
002909,集泰股份
002913,奥士康
002915,中欣氟材
002916,深南电路
002918,蒙娜丽莎
002929,润建股份
002931,锋龙股份
002938,鹏鼎控股
002942,新农股份
002947,恒铭达
002949,华阳国际
002951,金时科技
002953,日丰股份
002957,科瑞技术
002963,豪尔赛
002971,和远气体
002973,侨银股份
002975,博杰股份
002980,华盛昌
002989,中天精装
003005,竞业达
003018,金富科技
003031,中瓷电子
003040,楚天龙
300017,网宿科技
300051,琏升科技
300063,天龙集团
300120,经纬辉开
300122,智飞生物
300134,大富科技
300139,晓程科技
300142,沃森生物
300169,天晟新材
300189,神农种业
300197,节能铁汉
300209,行云科技
300214,日科化学
300243,瑞丰高材
300270,中威电子
300287,飞利信
300305,裕兴股份
300319,麦捷科技
300333,兆日科技
300345,华民股份
300359,全通教育
300363,博腾股份
300364,中文在线
300368,汇金股份
300369,绿盟科技
300378,鼎捷数智
300386,飞天诚信
300394,天孚通信
300413,芒果超媒
300456,赛微电子
300476,胜宏科技
300480,光力科技
300508,维宏股份
300515,三德科技
300530,领湃科技
300538,同益股份
300562,乐心医疗
300570,太辰光
300598,诚迈科技
300605,恒锋信息
300613,富瀚微
300620,光库科技
300642,透景生命
300672,国科微
300679,电连技术
300686,智动力
300688,创业黑马
300711,广哈通信
300765,石药创新
300789,唐源电气
300798,锦鸡股份
300802,矩子科技
300805,电声股份
300830,金现代
300839,博汇股份
300841,康华生物
300846,首都在线
300864,南大环境
300894,火星人
300897,山科智能
300903,科翔股份
300911,亿田智能
300929,华骐环保
300970,华绿生物
300981,中红医疗
300985,致远新能
300990,同飞股份
301018,申菱环境
301026,浩通科技
301045,天禄科技
301060,兰卫医学
301085,亚康股份
301106,骏成科技
301123,奕东电子
301127,武汉天源
301129,瑞纳智能
301151,冠龙节能
301152,天力锂能
301158,德石股份
301165,锐捷网络
301171,易点天下
301177,迪阿股份
301182,凯旺科技
301183,东田微
301190,善水科技
301205,联特科技
301211,亨迪药业
301217,铜冠铜箔
301227,森鹰窗业
301231,荣信文化
301251,威尔高
301270,汉仪股份
301282,金禄电子
301292,海科新源
301357,北方长龙
301366,一博科技
301382,蜂助手
301399,英特科技
301419,阿莱德
301449,天溯计量
301489,思泉新材
301529,福赛科技
301550,斯菱智驱
301591,肯特股份
301626,苏州天脉
301630,同宇新材
301668,昊创瑞通
600095,湘财股份
600103,青山纸业
600105,永鼎股份
600108,亚盛集团
600110,诺德股份
600121,郑州煤电
600127,金健米业
600162,香江控股
600165,宁科生物
600172,黄河旋风
600183,生益科技
600186,莲花控股
600198,大唐电信
600206,有研新材
600227,赤天化
600228,返利科技
600272,开开实业
600288,大恒科技
600313,农发种业
600326,西藏天路
600330,天通股份
600353,旭光电子
600354,敦煌种业
600362,江西铜业
600367,红星发展
600368,五洲交通
600371,万向德农
600378,昊华科技
600379,宝光股份
600397,江钨装备
600403,大有能源
600409,三友化工
600460,士兰微
600468,百利电气
600475,华光环能
600479,千金药业
600487,亨通光电
600500,中化国际
600508,上海能源
600513,联环药业
600521,华海药业
600536,中国软件
600540,新赛股份
600547,山东黄金
600551,时代出版
600578,京能电力
600584,长电科技
600588,用友网络
600604,市北高新
600610,中毅达
600613,神奇制药
600617,国新能源
600629,华建集团
600641,先导基电
600654,中安科
600657,信达地产
600663,陆家嘴
600664,哈药股份
600666,奥瑞德
600683,京投发展
600691,潞化科技
600693,东百集团
600698,湖南天雁
600712,南宁百货
600714,金瑞矿业
600721,百花医药
600722,金牛化工
600737,中粮糖业
600746,江苏索普
600756,浪潮软件
600785,新华百货
600801,华新建材
600815,厦工股份
600828,茂业商业
600829,人民同泰
600830,香溢融通
600833,第一医药
600844,金煤科技
600857,宁波中百
600865,百大集团
600869,远东股份
600881,亚泰集团
600892,大晟文化
600962,国投中鲁
600967,内蒙一机
600969,郴电国际
600988,赤峰黄金
601002,晋亿实业
601003,柳钢股份
601011,宝泰隆
601015,陕西黑猫
601086,国芳集团
601118,海南橡胶
601138,工业富联
601179,中国西电
601208,东材科技
601212,白银有色
601233,桐昆股份
601566,九牧王
601579,会稽山
601609,金田股份
601700,风范股份
601869,长飞光纤
601886,江河集团
601899,紫金矿业
601958,金钼股份
603002,宏昌电子
603009,北特科技
603011,合锻智能
603016,新宏泰
603038,华立股份
603039,泛微网络
603052,可川科技
603061,金海通
603078,江化微
603079,圣达生物
603082,北自科技
603083,剑桥科技
603089,正裕工业
603090,宏盛股份
603093,南华期货
603095,越剑智能
603097,江苏华辰
603102,百合股份
603110,东方材料
603113,金能科技
603115,海星股份
603118,共进股份
603122,合富中国
603123,翠微股份
603138,海量数据
603150,万朗磁塑
603151,邦基科技
603162,海通发展
603171,税友股份
603186,华正新材
